DATOS DE CLIENTES
==================================================================================================================================
DNI            DISTRITO            NOMBRE
----------------------------------------------------------------------------------------------------------------------------------
90367684       LS8594              CORONEL CHUMPITAZ HELI
99774549       LO3691              HENRIQUEZ ESPINO BEATRIZ
63640178       LO4439              CABRERA CANALES GUILLERMO EDRIC
66039166       LO3562              LAURA WONG MELVIN HENRRY
20371464       LE7894              CARO POLO SANDRO
35606314       LO1657              PORTUGAL BENAVENTE JOHANA GLORIA
35852072       LE3053              JUSTINO CRUZ WILLIAMS
51465986       LE3716              CAMACHO AGUERO ELIA ROSA
79100967       LN2958              LANDA PISCOYA CHRISTIAN
72973662       LN7093              BENAVENTE AYALA VIRGINIA IRMA
54149342       LO2220              MIYAKE MEREL MADELEINE YLIANA
72330000       LN2958              MEDINA VELASQUEZ MILENA JENNY
31284904       LO4328              CORREA VIZCARDO MIGUEL
66091742       LN1439              AMEZQUITA EPIQUEN EVERT ROBERTO
93961840       LS8594              CRUZ FUENTES JOHANA YDALI
32538825       LO5964              YOSHINARI RIVERA PAUL
94683380       LN7093              ASMAD ACUNA ANNIE OFELIA
59561864       LO9443              CHAVEZ PRADO SILVANA
61061535       LO5964              DE LA CUBA ALBERTO PAIRAZAMAN
22679759       LN7752              GORDILLO YINO YVONNE ROSARIO
53420926       LE7040              MARTEL ASMAD BRUNO ROBERTO
37282858       LO5817              HIJAR YEP WILLIAMS CHRISTIAN
34571095       LN4826              CALDERON ORTEGA GUILLERMO
93282118       LO6223              SUAREZ BOLANOS RAFAEL
86836066       LO8667              IBEROS VALDERRAMA RAFAEL
57182371       LS8280              VILCARA CORREA VICTOR
43704548       LO4439              VALVERDE BERROCAL RONY GONZALO
12484697       LO2220              HENRIQUEZ PORTUGAL ALEX
17299012       LE7894              GONZALES ARIAS HENRY
99891737       LO2220              RETAMOSO BARRERA OSCAR
91187814       LE4504              MALDONADO FLORIAN JOHANA
36471787       LO5964              ACUNA YINO ROCIO YOLANDA
81647285       LE7894              VILLEGAS PALOMINO DORIS FREYSA
15290194       LS8280              BARRIOS TOMASICHE CARLOS ALBERTO
45914393       LO3691              MEJIA HUAYANAY CHRISTIAN ALONSO
54815159       LO5964              FLORIAN MORALES YDALI
85395219       LE7894              MOYA ARANDA JOHNNY
13731806       LO3562              CORTEZ SEGURA CARMELA INES
75100362       LO5964              VEGA MUNOZ GONZALO
68269451       LE3716              HIJAR PAIRAZAMAN JENNY DELICIA
86988155       LE4504              ALAMO PAIRAZAMAN MIGUEL ROBERTO
77440060       LE4504              CORONADO FIGUEROA JOHAN
68114999       LN1439              RUIZ GORDILLO CAROLA ERIKA
92275859       LE7040              CALIXTO TOMASICHE MONICA DORIS
28992638       LO6223              ANTEZANO SEGURA TERESA DELIA
71422479       LS8280              ZARATE DEL POZO HUMBERTO ANTONIO
25062013       LE7894              GAVIDIA MENDOZA RONALD JOHNNY
49357767       LN2958              PATINO CHUNG BEATRIZ ROSA
51873364       LO3562              SEGURA MALCA RONY
95656771       LO9222              FARFAN FALCON ELIZABETH KARIN
30246960       LO4328              SUCHERO EPIQUEN EDGAR JAVIER
34697743       LO9443              ASTETE RIOS CESAR WILVER
62126128       LE4504              MEREL SALAZAR ANNIE LOURDES
51642949       LN2958              SUELDO RUIZ ANTONIO
80694546       LE3716              DIAZ REYES WALTER EDGAR
65912822       LN4826              LAU BACA MONICA TERESA
45201670       LE4504              URBINA HIJAR RAFAEL
81539774       LO4439              URBINA CASTILLO HELI
77324146       LO4328              FALCON PRECIADO ALEX HENRY
62287143       LO5964              DE LA CUBA JUGO LUCERO DELICIA
52313890       LO4328              DURAND MEZA WALDEMAR EDGARD
36934113       LN7752              SALAS URBINA MAGDA CARMEN
58643376       LO9222              VILLEGAS LEIVA FELICITA
27709566       LE3053              SUAREZ MUNOZ MADELEINE
60543714       LO3691              BARRERA MIRANDA ALEXANDER MARTIN
35347567       LO7318              FIGUEROA COLLADO EVERT
22598563       LO8667              MONTERO MONTERO ANNIE
14956687       LE6936              LA HAZA CABRERA ALBERTO DE
59596317       LO3562              AYALA VIZCARDO EDGAR MANUEL
93231760       LN7752              CHUMPITAZ ALCOCER ANGEL ERICK
93939698       LE7040              CHUMPITAZ PALOMARES VIRGINIA
41964357       LO3562              VILLA SEDANO MARTIN JUVENAL
79133967       LO4439              GUEVARA MIYAKE MILENA
72937662       LO4328              ROSEMBERG LAU JULIO HENRRY
59199342       LO5964              ZAMBRANO MOSCOSO OFELIA MARIA
67277765       LO9222              CORTEZ SEGURA CARMELA INES
92980780       LO4439              VEGA MUNOZ GONZALO 
65278099       LS8594              HIJAR PAIRAZAMAN JENNY DELICIA
78223294       LO9443              ALAMO PAIRAZAMAN MIGUEL ROBERTO
81334083       LO3691              CORONADO FIGUEROA JOHAN 
49573578       LE7040              RUIZ GORDILLO CAROLA ERIKA
31526241       LO4328              CALIXTO TOMASICHE MONICA DORIS
80740735       LO4328              ANTEZANO SEGURA TERESA DELIA
73518695       LE7894              ZARATE DEL POZO HUMBERTO ANTONIO
76595144       LE7894              GAVIDIA MENDOZA RONALD JOHNNY
37769366       LO9222              PATINO CHUNG BEATRIZ ROSA
40711531       LE3053              SEGURA MALCA RONY 
82583252       LO9443              FARFAN FALCON ELIZABETH KARIN
31712526       LE7040              SUCHERO EPIQUEN EDGAR JAVIER
32352361       LN2958              ASTETE RIOS CESAR WILVER
51808448       LO3562              MEREL SALAZAR ANNIE LOURDES
46466842       LS8594              SUELDO RUIZ ANTONIO 
65308391       LN2958              DIAZ REYES WALTER EDGAR
56100384       LE3716              LAU BACA MONICA TERESA
52650965       LO1657              URBINA HIJAR RAFAEL 
64262396       LN7093              URBINA CASTILLO HELI 
22303979       LS8280              FALCON PRECIADO ALEX HENRY
51108372       LO4439              DE LA CUBA JUGO LUCERO DELICIA
38986512       LE3716              DURAND MEZA WALDEMAR EDGARD
63230770       LE7894              SALAS URBINA MAGDA CARMEN
86297512       LO2220              VILLEGAS LEIVA FELICITA 
